PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"According to Snowflake best practice recommendations, which role should be used to create databases?","A. ACCOUNTADMIN","B. SYSADMIN  ","C. SECURITYADMIN","D. USERADMIN","","","B"
"To add or remove search optimization for a table, a user must have which of the following privileges or roles? (Choose two.)","A. The MODIFY privilege on the table","B. The OWNERSHIP privilege on the table  ","C. A SECURITYADMIN role","D. The ADD SEARCH OPTIMIZATION privilege on the schema that contains the table  ","E. The SELECT privilege on the table","","B,D"
"While using a COPY command with a Validation_mode parameter, which of the following statements will return an error?","A. Statements that insert a duplicate record during a load","B. Statements that have a specific data type in the source","C. Statements that have duplicate file names","D. Statements that transform data during a load  ","","","D"
"When is the result set cache no longer available? (Choose two.)","A. When another warehouse is used to execute the query","B. When another user executes the query","C. When the underlying data has changed  ","D. When the warehouse used to execute the query is suspended","E. When it has been 24 hours since the last query","","C,E"
"What is the recommended file sizing for data loading using Snowpipe?","A. A compressed file size greater than 100 MB, and up to 250 MB  ","B. A compressed file size greater than 100 GB, and up to 250 GB","C. A compressed file size greater than 10 MB, and up to 100 MB","D. A compressed file size greater than 1 GB, and up to 2 GB","","","A"
"Which statements are true concerning Snowflake’s underlying cloud infrastructure? (Choose three.)","A. Snowflake data and services are deployed in a single availability zone within a cloud provider’s region.","B. Snowflake data and services are available in a single cloud provider and a single region; the use of multiple cloud providers is not supported.","C. Snowflake can be deployed in a customer’s private cloud using the customer’s own compute and storage resources for Snowflake compute and storage.","D. Snowflake uses the core compute and storage services of each cloud provider for its own compute and storage.  ","E. All three layers of Snowflake’s architecture (storage, compute, and cloud services) are deployed and managed entirely on a selected cloud platform.  ","F. Snowflake data and services are deployed in at least three availability zones within a cloud provider’s region.  ","D,E,F"
"A user unloaded a Snowflake table called mytable to an internal stage called mystage.Which command can be used to view the list of files that has been uploaded to the stage?","A. list @mytable;","B. list @%mytable;","C. list @%mystage;","D. list @mystage;  ","","","D"
"What is a best practice after creating a custom role?","A. Create the custom role using the SYSADMIN role.","B. Assign the custom role to the SYSADMIN role.  ","C. Assign the custom role to the PUBLIC role.","D. Add _CUSTOM to all custom role names.","","","B"
"Which is the MINIMUM required Snowflake edition that a user must have if they want to use AWS/Azure Privatelink or Google Cloud Private Service Connect?","A. Standard","B. Premium","C. Enterprise","D. Business Critical  ","","","D"
"Which of the following query profiler variables will indicate that a virtual warehouse is not sized correctly for the query being executed?","A. Bytes sent over the network","B. Synchronization","C. Initialization","D. Remote spillage  ","","","D"
"Which of the following Snowflake capabilities are available in all Snowflake editions? (Choose two.)","A. Customer-managed encryption keys through Tri-Secret Secure","B. Automatic encryption of all data  ","C. Up to 90 days of data recovery through Time Travel","D. Object-level access control","E. Column-level security to apply data masking policies to tables and views","","B,D"
"A PUT command can be used to stage local files from which Snowflake interface?","A. SnowSQL  ","B. Snowflake classic web interface (UI)","C. Snowsight","D. .NET driver","","","A"
"Which of the following indicates that it may be appropriate to use a clustering key for a table? (Choose two.)","A. The table contains a column that has very low cardinality.","B. DML statements that are being issued against the table are blocked.","C. The table has a small number of micro-partitions.","D. Queries on the table are running slower than expected.  ","E. The clustering depth for the table is large.  ","","D,E"
"Which cache type is used to cache data output from SQL queries?","A. Metadata cache","B. Result cache","C. Remote cache","D. Local file cache","","","B"
"Which of the following describes how clustering keys work in Snowflake?","A. Clustering keys update the micro-partitions in place with a full sort, and impact the DML operations.","B. Clustering keys sort the designated columns over time, without blocking DML operations.  ","C. Clustering keys create a distributed, parallel data structure of pointers to a table's rows and columns.","D. Clustering keys establish a hashed key on each node of a virtual warehouse to optimize joins at run-time.","","","B"
"Which of the following operations require the use of a running virtual warehouse? (Choose two.)","A. Downloading data from an internal stage","B. Listing files in a stage","C. Executing a stored procedure  ","D. Altering a table","E. Querying data from a materialized view  ","","C,D"
"What is used to limit the credit usage of a virtual warehouse within a Snowflake account?","A. Load monitor","B. Resource monitor  ","C. Query Profile","D. Stream","","","B"
"What are the benefits of the replication feature in Snowflake? (Choose two.)","A. Disaster recovery  ","B. Time Travel","C. Fail-safe","D. Database failover and failback  ","E. Data security","","A,D"
"Which of the following roles are recommended to create and manage users and roles? (Choose two.)","A. SYSADMIN","B. SECURITYADMIN  ","C. PUBLIC","D. ACCOUNTADMIN","E. USERADMIN  ","","B,E"
"When can a newly configured virtual warehouse start running SQL queries?","A. After 50% of the warehouse provisioning has completed","B. During the time slots defined by the ACCOUNTADMIN","C. When the warehouse provisioning is completed  ","D. After the warehouse replication is completed","","","C"
"What actions will prevent leveraging of the ResultSet cache?","A. Removing a column from the query SELECT list  ","B. Stopping the virtual warehouse that the query is running against","C. If the result has not been reused within the last 12 hours","D. Executing the RESULTS_SCAN() table function","","","A"
"Which of the following are benefits of micro-partitioning? (Choose two.)","A. Micro-partitions cannot overlap in their range of values.","B. Micro-partitions are immutable objects that support the use of Time Travel.  ","C. Micro-partitions can reduce the amount of I/O from object storage to virtual warehouses.  ","D. Rows are automatically stored in sorted order within micro-partitions.","E. Micro-partitions can be defined on a schema-by-schema basis.","","B,C"
"Which data type can be used to store geospatial data in Snowflake?","A. Variant","B. Object","C. Geometry  ","D. Geography  ","","","D"
"If all virtual warehouse resources are maximized while processing a query workload, what will happen to new queries that are submitted to the warehouse?","A. All queries will terminate when the resources are maximized.","B. The warehouse will scale out automatically","C. The warehouse will move to a suspended state.","D. New queries will be queued and executed when capacity is available.","","","D"
"Masking policies can be applied to which of the following Snowflake objects? (Choose two.)","A. A materialized view  ","B. A stored procedure","C. A table  ","D. A stream","E. A pipe - E. A User-Defined Function (UDF)","","A,C"
"What actions are supported by Snowflake resource monitors? (Choose two.)","A. Alert","B. Notify  ","C. Notify and suspend  ","D. Abort","E. Suspend immediately","","B,C"
"A user executes the following SQL query:create table SALES_BKP like SALES;What are the cost implications for processing this query?","A. Processing costs will be generated based on how long the query takes.","B. Storage costs will be generated based on the size of the data.","C. No costs will be incurred as the query will use metadata.  ","D. The cost for running the virtual warehouse will be charged by the second.","","","C"
"What is the maximum length of time travel available in the Snowflake Standard Edition?","A. 1 Day  ","B. 7 Days","C. 30 Days","D. 90 Days","","","A"
"What happens when an external or an internal stage is dropped? (Choose two.)","A. When dropping an external stage, the files are not removed and only the stage is dropped.  ","B. When dropping an external stage, both the stage and the files within the stage are removed.","C. When dropping an internal stage, the files are deleted with the stage and the files are recoverable.","D. When dropping an internal stage, the files are deleted with the stage and the files are not recoverable.  ","E. When dropping an internal stage, only selected files are deleted with the stage and are not recoverable.","","A,D"
"A user has 10 files in a stage containing new customer data. The ingest operation completes with no errors, using the following command:COPY INTO my_table FROM @my_stage;The next day the user adds 10 files to the stage so that now the stage contains a mixture of new customer data and updates to the previous data. The user did not remove the 10 original files.If the user runs the same COPY INTO command what will happen?","A. All data from all of the files on the stage will be appended to the table.","B. Only data about new customers from the new files will be appended to the table.","C. The operation will fail with the error UNCERTAIN FILES IN STAGE.","D. All data from only the newly-added files will be appended to the table.  ","","","D"
"Which parameter can be used to instruct a COPY command to verify data files instead of loading them into a specified table?","A. STRIP_NULL_VALUES","B. SKIP_BYTE_ORDER_MARK","C. REPLACE_INVALID_CHARACTERS","D. VALIDATION_MODE  ","","","D"
"Which of the following SQL statements will list the version of the drivers currently being used?","A. Execute SELECT CURRENT_ODBC_CLIENT(); from the Web UI","B. Execute SELECT CURRENT_JDBC_VERSION(); from SnowSQL","C. Execute SELECT CURRENT_CLIENT(); from an application  ","D. Execute SELECT CURRENT_VERSION(); from the Python Connector","","","C"
"Which Snowflake technique can be used to improve the performance of a query?","A. Clustering  ","B. Indexing","C. Fragmenting","D. Using INDEX_HINTS","","","A"
"What happens to the shared objects for users in a consumer account from a share, once a database has been created in that account?","A. The shared objects are transferred.","B. The shared objects are copied.","C. The shared objects become accessible.  ","D. The shared objects can be re-shared.","","","C"
"Using variables in Snowflake is denoted by using which SQL character?","A. @","B. &","C. $  ","D. #","","","C"
"Which commands should be used to grant the privilege allowing a role to select data from all current tables and any tables that will be created later in a schema? (Choose two.)","A. grant USAGE on all tables in schema DB1.SCHEMA to role MYROLE;","B. grant USAGE on future tables in schema DB1.SCHEMA to role MYROLE;","C. grant SELECT on all tables in schema DB1.SCHEMA to role MYROLE;  ","D. grant SELECT on future tables in schema DB1.SCHEMA to role MYROLE;  ","E. grant SELECT on all tables in database DB1 to role MYROLE;","F. grant SELECT on future tables in database DB1 to role MYROLE;","A,C"
"How can a user change which columns are referenced in a view?","A. Modify the columns in the underlying table","B. Use the ALTER VIEW command to update the view","C. Recreate the view with the required changes  ","D. Materialize the view to perform the changes","","","C"
"Which statement describes pruning?","A. The filtering or disregarding of micro-partitions that are not needed to return a query.  ","B. The return of micro-partitions values that overlap with each other to reduce a query's runtime.","C. A service that is handled by the Snowflake Cloud Services layer to optimize caching.","D. The ability to allow the result of a query to be accessed as if it were a table.","","","A"
"Which SQL command can be used to see the CREATE definition of a masking policy?","A. SHOW MASKING POLICIES","B. DESCRIBE MASKING POLICY","C. GET_DDL  ","D. LIST MASKING POLICIES","","","C"
"Which of the following is the Snowflake Account_Usage.Metering_History view used for?","A. Gathering the hourly credit usage for an account  ","B. Compiling an account's average cloud services cost over the previous month","C. Summarizing the throughput of Snowpipe costs for an account","D. Calculating the funds left on an account's contract","","","A"
"Query parsing and compilation occurs in which architecture layer of the Snowflake Cloud Data Platform?","A. Cloud services layer  ","B. Compute layer","C. Storage layer","D. Cloud agnostic layer","","","A"
"Which of the following Snowflake objects can be shared using a secure share? (Choose two.)","A. Materialized views","B. Sequences","C. Procedures","D. Tables  ","E. Secure User Defined Functions (UDFs)  ","","D,E"
"What happens to the underlying table data when a CLUSTER BY clause is added to a Snowflake table?","A. Data is hashed by the cluster key to facilitate fast searches for common data values","B. Larger micro-partitions are created for common data values to reduce the number of partitions that must be scanned","C. Smaller micro-partitions are created for common data values to allow for more parallelism","D. Data may be colocated by the cluster key within the micro-partitions to improve pruning performance  ","","","D"
"Which of the following conditions must be met in order to return results from the results cache? (Choose two.)","A. The user has the appropriate privileges on the objects associated with the query.  ","B. Micro-partitions have been reclustered since the query was last run.","C. The new query is run using the same virtual warehouse as the previous query.","D. The query includes a User Defined Function (UDF).","E. The query has been run within 24 hours of the previously-run query.  ","","A,E"
"Which statement about billing applies to Snowflake credits?","A. Credits are billed per-minute with a 60-minute minimum.","B. Credits are used to pay for cloud data storage usage.","C. Credits are consumed based on the number of credits billed for each hour that a warehouse runs.","D. Credits are consumed based on the warehouse size and the time the warehouse is running.  ","","","D"
"A user needs to create a materialized view in the schema MYDB.MYSCHEMA.Which statements will provide this access?","A. GRANT ROLE MYROLE TO USER USER1; CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO ROLE MYROLE;  ","B. GRANT ROLE MYROLE TO USER USER1; CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER USER1;","C. GRANT ROLE MYROLE TO USER USER1; CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO USER1;","D. GRANT ROLE MYROLE TO USER USER1; CREATE MATERIALIZED VIEW ON SCHEMA MYDB.MYSCHEMA TO MYROLE;","","","A"
"What is the purpose of multi-cluster virtual warehouses?","A. To create separate data warehouses to increase query optimization","B. To allow users the ability to choose the type of compute nodes that make up a virtual warehouse cluster","C. To eliminate or reduce queuing of concurrent queries  ","D. To allow the warehouse to resize automatically","","","C"
"Which of the following is a valid source for an external stage when the Snowflake account is located on Microsoft Azure?","A. An FTP server with TLS encryption","B. An HTTPS server with WebDAV","C. A Google Cloud storage bucket  ","D. A Windows server file share on Azure","","","C"
"Which database objects can be shared with the Snowflake secure data sharing feature? (Choose two.)","A. Files","B. External tables  ","C. Secure User-Defined Functions (UDFs)  ","D. Sequences","E. Streams","","B,C"
"Which statements reflect key functionalities of a Snowflake Data Exchange? (Choose two.)","A. If an account is enrolled with a Data Exchange, it will lose its access to the Snowflake Marketplace.","B. A Data Exchange allows groups of accounts to share data privately among the accounts.  ","C. A Data Exchange allows accounts to share data with third, non-Snowflake parties.","D. Data Exchange functionality is available by default in accounts using the Enterprise edition or higher.","E. The sharing of data in a Data Exchange is bidirectional. An account can be a provider for some datasets and a consumer for others.  ","","B,E"
"A Snowflake user executed a query and received the results. Another user executed the same query 4 hours later. The data had not changed.What will occur?","A. No virtual warehouse will be used, data will be read from the result cache.  ","B. No virtual warehouse will be used, data will be read from the local disk cache.","C. The default virtual warehouse will be used to read all data.","D. The virtual warehouse that is defined at the session level will be used to read all data.","","","A"
"Which feature allows a user the ability to control the organization of data in a micro-partition?","A. Range Partitioning","B. Search Optimization Service  ","C. Automatic Clustering  ","D. Horizontal Partitioning","","","C"
"Which privilege must be granted to a share to allow secure views the ability to reference data in multiple databases?","A. CREATE_SHARE on the account","B. SHARE on databases and schemas","C. SELECT on tables used by the secure view","D. REFERENCE_USAGE on databases  ","","","D"
"In which use case does Snowflake apply egress charges?","A. Data sharing within a specific region","B. Query result retrieval","C. Database replication  ","D. Loading data into Snowflake","","","C"
"Which of the following compute resources or features are managed by Snowflake? (Choose two.)","A. Execute a COPY command","B. Updating data","C. Snowpipe  ","D. AUTOMATIC_CLUSTERING  ","E. Scaling up a warehouse","","C,D"
"A materialized view should be created when which of the following occurs? (Choose two.)","A. There is minimal cost associated with running the query.","B. The query consumes many compute resources every time it runs.  ","C. The base table gets updated frequently.","D. The query is highly optimized and does not consume many compute resources.","E. The results of the query do not change often and are used frequently.  ","","B,E"
"What privilege should a user be granted to change permissions for new objects in a managed access schema?","A. Grant the OWNERSHIP privilege on the schema.  ","B. Grant the OWNERSHIP privilege on the database.","C. Grant the MANAGE GRANTS global privilege.  ","D. Grant ALL privileges on the schema.","","","A"
"What happens when a Data Provider revokes privileges to a share on an object in their source database?","A. The object immediately becomes unavailable for all Data Consumers.","B. Any additional data arriving after this point in time will not be visible to Data Consumers.","C. The Data Consumers stop seeing data updates and become responsible for storage charges for the object.","D. A static copy of the object at the time the privilege was revoked is created in the Data Consumers account.","","","A"
"Which command can be used to load data into an internal stage?","A. LOAD","B. COPY","C. GET","D. PUT  ","","","D"
"What is the MINIMUM Snowflake edition required to use the periodic rekeying of micro-partitions?","A. Enterprise  ","B. Business Critical","C. Standard","D. Virtual Private Snowflake","","","A"
"Which stage type can be altered and dropped?","A. Database stage","B. External stage","C. Table stage","D. User stage","","","B"
"Which Snowflake object enables loading data from files as soon as they are available in a cloud storage location?","A. Pipe  ","B. External stage","C. Task","D. Stream","","","A"
"A user is loading JSON documents composed of a huge array containing multiple records into Snowflake. The user enables the STRIP_OUTER_ARRAY file format option.What does the STRIP_OUTER_ARRAY file format do?","A. It removes the last element of the outer array.","B. It removes the outer array structure and loads the records into separate table rows.  ","C. It removes the trailing spaces in the last element of the outer array and loads the records into separate table columns.","D. It removes the NULL elements from the JSON object eliminating invalid data and enables the ability to load the records.","","","B"
"Which of the following describes how multiple Snowflake accounts in a single organization relate to various cloud providers?","A. Each Snowflake account can be hosted in a different cloud vendor and region.  ","B. Each Snowflake account must be hosted in a different cloud vendor and region.","C. All Snowflake accounts must be hosted in the same cloud vendor and region.","D. Each Snowflake account can be hosted in a different cloud vendor, but must be in the same region.","","","A"
"If a Snowflake user decides a table should be clustered, what should be used as the cluster key?","A. The columns that are queried in the select clause.","B. The columns with very high cardinality.","C. The columns with many different values.","D. The columns most actively used in the select filters.  ","","","D"
"What are value types that a VARIANT column can store? (Choose two.)","A. STRUCT","B. OBJECT  ","C. BINARY","D. ARRAY  ","E. CLOB","","B,D"
"A company needs to read multiple terabytes of data for an initial load as part of a Snowflake migration. The company can control the number and size of CSV extract files.How does Snowflake recommend maximizing the load performance?","A. Use auto-ingest Snowpipes to load large files in a serverless model.","B. Produce the largest files possible, reducing the overall number of files to process.","C. Produce a larger number of smaller files and process the ingestion with size Small virtual warehouses.  ","D. Use an external tool to issue batched row-by-row inserts within BEGIN TRANSACTION and COMMIT commands.","","","C"
"For non-materialized views, what column in Information Schema and Account Usage identifies whether a view is secure or not?","A. CHECK_OPTION","B. IS_SECURE","C. IS_UPDATEABLE","D. TABLE_NAME","","","B"
"The bulk data load history that is available upon completion of the COPY statement is stored where and for how long?","A. In the metadata of the target table for 14 days","B. In the metadata of the pipe for 14 days","C. In the metadata of the target table for 64 days  ","D. In the metadata of the pipe for 64 days","","","C"
"User INQUISITIVE_PERSON has been granted the role DATA_SCIENCE. The role DATA_SCIENCE has privileges OWNERSHIP on the schema MARKETING of the database ANALYTICS_DW.Which command will show all privileges granted to that schema?","A. SHOW GRANTS ON ROLE DATA_SCIENCE","B. SHOW GRANTS ON SCHEMA ANALYTICS_DW.MARKETING  ","C. SHOW GRANTS TO USER INQUISITIVE_PERSON","D. SHOW GRANTS OF ROLE DATA_SCIENCE","","","B"
"Which of the following are characteristics of security in Snowflake?","A. Account and user authentication is only available with the Snowflake Business Critical edition.","B. Support for HIPAA and GDPR compliance is available for UI Snowflake editions.","C. Periodic rekeying of encrypted data is available with the Snowflake Enterprise edition and higher","D. Private communication to internal stages is allowed in the Snowflake Enterprise edition and higher.","","","C"
"Which of the following objects can be shared through secure data sharing?","A. Masking policy","B. Stored procedure","C. Task","D. External table  ","","","D"
"Which formats does Snowflake store unstructured data in? (Choose two.)","A. GeoJSON","B. Array  ","C. XML","D. Object  ","E. BLOB","","B,D"
"A user is preparing to load data from an external stage.Which practice will provide the MOST efficient loading performance?","A. Organize files into logical paths  ","B. Store the files on the external stage to ensure caching is maintained","C. Use pattern matching for regular expression execution","D. Load the data in one large file","","","A"
"What effect does WAIT_FOR_COMPLETION = TRUE have when running an ALTER WAREHOUSE command and changing the warehouse size?","A. The warehouse size does not change until all queries currently running in the warehouse have completed.","B. The warehouse size does not change until all queries currently in the warehouse queue have completed.","C. The warehouse size does not change until the warehouse is suspended and restarted.","D. It does not return from the command until the warehouse has finished changing its size.  ","","","D"
"Which of the following can be used when unloading data from Snowflake? (Choose two.)","A. When unloading semi-structured data, it is recommended that the STRIP_OUTER_ARRAY option be used.","B. Use the ENCODING file format option to change the encoding from the default UTF-8.","C. The OBJECT_CONSTRUCT function can be used to convert relational data to semi-structured data.  ","D. By using the SINGLE = TRUE parameter, a single file up to 5 GB in size can be exported to the storage layer.  ","E. Use the PARSE_JSON function to ensure structured data will be unloaded into the VARIANT data type.","","C,D"
"What data is stored in the Snowflake storage layer? (Choose two.)","A. Snowflake parameters","B. Micro-partitions  ","C. Query history  ","D. Persisted query results","E. Standard and secure view results","","B,E"
"A data provider wants to share data with a consumer who does not have a Snowflake account. The provider creates a reader account for the consumer following these steps:1. Created a user called CONSUMER 2. Created a database to hold the share and an extra-small warehouse to query the data 3. Granted the role PUBLIC the following privileges: Usage on the warehouse, database, and schema, and SELECT on all the objects in the shareBased on this configuration what is true of the reader account?","A. The reader account will automatically use the Standard edition of Snowflake.","B. The reader account compute will be billed to the provider account.  ","C. The reader account can clone data the provider has shared, but cannot re-share it.","D. The reader account can create a copy of the shared data using CREATE TABLE AS...","","","B"
"Which of the following activities consume virtual warehouse credits in the Snowflake environment? (Choose two.)","A. Caching query results","B. Running EXPLAIN and SHOW commands","C. Cloning a database","D. Running a custom query  ","E. Running COPY commands  ","","D,E"
"When loading data into Snowflake, the COPY command supports which of the following?","A. Joins","B. Filters","C. Column reordering  ","D. Aggregates","","","C"
"What is cached during a query on a virtual warehouse?","A. All columns in a micro-partition","B. Any columns accessed during the query  ","C. The columns in the result set of the query","D. All rows accessed during the query","","","B"
"What is the default character set used when loading CSV files into Snowflake?","A. UTF-8  ","B. UTF-16","C. ISO 8859-1","D. ANSI_X3.4","","","A"
"Which of the following describes external functions in Snowflake?","A. They are a type of User-defined Function (UDF).","B. They contain their own SQL code.","C. They call code that is stored inside of Snowflake.","D. They can return multiple rows for each row received.","","","A"
"Which of the following are valid methods for authenticating users for access into Snowflake? (Choose three.)","A. SCIM","B. Federated authentication  ","C. TLS 1.2","D. Key-pair authentication  ","E. OAuth  ","F. OCSP authentication","B,D,E"
"A user has a standard multi-cluster warehouse auto-scaling policy in place.Which condition will trigger a cluster to shut-down?","A. When after 2-3 consecutive checks the system determines that the load on the most-loaded cluster could be redistributed.","B. When after 5-6 consecutive checks the system determines that the load on the most-loaded cluster could be redistributed.","C. When after 5-6 consecutive checks the system determines that the load on the least-loaded cluster could be redistributed.","D. When after 2-3 consecutive checks the system determines that the load on the least-loaded cluster could be redistributed.","","","D"
"What is the minimum Snowflake edition needed for database failover and fail-back between Snowflake accounts for business continuity and disaster recovery?","A. Standard","B. Enterprise","C. Business Critical  ","D. Virtual Private Snowflake","","","C"
"How would a user execute a series of SQL statements using a task?","A. Include the SQL statements in the body of the task CREATE TASK mytask .. AS INSERT INTO target1 SELECT .. FROM stream_s1 WHERE .. INSERT INTO target2 SELECT .. FROM stream_s1 WHERE ..","B. A stored procedure can have only one DML statement per stored procedure invocation and therefore the user should sequence stored procedure calls in the task definition CREATE TASK mytask .... AS call stored_proc1(); call stored_proc2();","C. Use a stored procedure executing multiple SQL statements and invoke the stored procedure from the task. CREATE TASK mytask .... AS call stored_proc_multiple_statements_inside();  ","D. Create a task for each SQL statement (e.g. resulting in task1, task2, etc.) and string the series of SQL statements by having a control task calling task1, task2, etc. sequentially.","","","C"
"How many resource monitors can be assigned at the account level?","A. 1  ","B. 2","C. 3","D. 4","","","A"
"Data storage for individual tables can be monitored using which commands and/or objects? (Choose two.)","A. SHOW STORAGE BY TABLE;","B. SHOW TABLES;  ","C. Information Schema -> TABLE_HISTORY","D. Information Schema -> TABLE_FUNCTION","E. Information Schema -> TABLE_STORAGE_METRICS  ","","B,E"
"How would a user run a multi-cluster warehouse in maximized mode?","A. Configure the maximum clusters setting to Maximum.","B. Turn on the additional clusters manually after starting the warehouse.","C. Set the minimum Clusters and maximum Clusters settings to the same value.  ","D. Set the minimum clusters and maximum clusters settings to different values.","","","C"
"What internal stages are available in Snowflake? (Choose three.)","A. Schema stage","B. Named stage  ","C. User stage  ","D. Stream stage","E. Table stage  ","F. Database stage","B,C,E"
"Which stages are used with the Snowflake PUT command to upload files from a local file system? (Choose three.)","A. Schema Stage","B. User Stage  ","C. Database Stage","D. Table Stage  ","E. External Named Stage","F. Internal Named Stage  ","B,D,F"
"Which data type can store more than one type of data structure?","A. JSON","B. BINARY","C. VARCHAR","D. VARIANT  ","","","D"
"User-level network policies can be created by which of the following roles? (Choose two.)","A. ROLEADMIN","B. ACCOUNTADMIN  ","C. SYSADMIN","D. SECURITYADNIN  ","E. USERADMIN","","B,D"
"What SQL command would be used to view all roles that were granted to USER1?","A. show grants to user USER1;  ","B. show grants user USER1;","C. describe user USER1;","D. show grants on user USER1;","","","A"
"Which ACCOUNT_USAGE views are used to evaluate the details of dynamic data masking? (Choose two.)","A. ROLES","B. POLICY_REFERENCES  ","C. QUERY_HISTORY","D. RESOURCE_MONITORS","E. ACCESS_HISTORY","F. MASKING_POLICIES  ","B,F"
"Which of the following are considerations when using a directory table when working with unstructured data? (Choose two.)","A. A directory table is a separate database object.","B. Directory tables store data file metadata.  ","C. A directory table will be automatically added to a stage.","D. Directory tables do not have their own grantable privileges.  ","E. Directory table data can not be refreshed manually.","","B,D"
"The first user assigned to a new account, ACCOUNTADMIN, should create at least one additional user with which administrative privilege?","A. USERADMIN  ","B. PUBLIC","C. ORGADMIN","D. SYSADMIN","","","A"
"Which statement describes how Snowflake supports reader accounts?","A. A reader account can consume data from the provider account that created it and combine it with its own data.","B. A consumer needs to become a licensed Snowflake customer as data sharing is only supported between Snowflake accounts.","C. The users in a reader account can query data that has been shared with the reader account and can perform DML tasks.","D. The SHOW MANAGED ACCOUNTS command will view all the reader accounts that have been created for an account.  ","","","A"
"How does Snowflake allow a data provider with an Azure account in central Canada to share data with a data consumer on AWS in Australia?","A. The data provider in Azure Central Canada can create a direct share to AWS Asia Pacific, if they are both in the same organization.","B. The data consumer and data provider can form a Data Exchange within the same organization to create a share from Azure Central Canada to AWS Asia Pacific.","C. The data provider uses the GET DATA workflow in the Snowflake Data Marketplace to create a share between Azure Central Canada and AWS Asia Pacific.","D. The data provider must replicate the database to a secondary account in AWS Asia Pacific within the same organization then create a share to the data consumer's account  ","","","D"
"Which Snowflake objects can be shared with other Snowflake accounts? (Choose three.)","A. Schemas","B. Roles","C. Secure Views  ","D. Stored Procedures","E. Tables  ","F. Secure User-Defined Functions (UDFs)  ","C,E,F"
"Which Snowflake feature will allow small volumes of data to continuously load into Snowflake and will incrementally make the data available for analysis?","A. COPY INTO","B. CREATE PIPE","C. INSERT INTO","D. TABLE STREAM","","","B"
"Which Snowflake partner specializes in data catalog solutions?","A. Alation","B. DataRobot","C. dbt","D. Tableau","","","A"
"Which of the following can be executed/called with Snowpipe?","A. A User Defined Function (UDF)","B. A stored procedure","C. A single COPY_INTO statement","D. A single INSERT_INTO statement","","","C"
"Which snowflake objects will incur both storage and cloud compute charges? (Choose two.)","A. Materialized view  ","B. Sequence","C. Secure view","D. Transient table","E. Clustered table  ","","A,E"
"What file formats does Snowflake support for loading semi-structured data? (Choose three.)","A. TSV","B. JSON","C. PDF","D. Avro","E. Parquet","F. JPEG","B,D,E"
"Which of the following statements about data sharing are true? (Choose two.)","A. New objects created by a Data Provider are automatically shared with existing Data Consumers and Reader Accounts.","B. All database objects can be included in a shared database.","C. Reader Accounts are created by Data Providers.  ","D. Shared databases are read-only.  ","E. Reader Accounts are charged for warehouse usage.","","C,D"
"Credit charges for Snowflake virtual warehouses are calculated based on which of the following considerations? (Choose two.)","A. The number of queries executed","B. The number of active users assigned to the warehouse","C. The size of the virtual warehouse  ","D. The length of time the warehouse is running  ","E. The duration of the queries that are executed","","C,D"
"Which of the following are handled by the cloud services layer of the Snowflake architecture? (Choose two.)","A. Query execution","B. Data loading","C. Time Travel data","D. Security  ","E. Authentication and access control  ","","D,E"
"What is a responsibility of Snowflake’s virtual warehouses?","A. Infrastructure management","B. Metadata management","C. Query execution","D. Query parsing and optimization","E. Permanent storage of micro-partitions","","C"
"What features does Snowflake Time Travel enable?","A. Querying data-related objects that were created within the past 365 days","B. Restoring data-related objects that have been deleted within the past 90 days  ","C. Conducting point-in-time analysis for BI reporting","D. Analyzing data usage/manipulation over all periods of time","","","B"
"Which of the following statements describes a schema in Snowflake?","A. A logical grouping of objects that belongs to a single database  ","B. A logical grouping of objects that belongs to multiple databases","C. A named Snowflake object that includes all the information required to share a database","D. A uniquely identified Snowflake account within a business entity","","","A"
"What is the recommended compressed file size range for continuous data loads using Snowpipe?","A. 8-16 MB","B. 16-24 MB","C. 10-99 MB","D. 100-250 MB  ","","","D"
"How long is Snowpipe data load history retained?","A. As configured in the CREATE PIPE settings","B. Until the pipe is dropped","C. 64 days","D. 14 days  ","","","D"
"A company strongly encourages all Snowflake users to self-enroll in Snowflake's default Multi-Factor Authentication (MFA) service to provide increased login security for users connecting to Snowflake.Which application will the Snowflake users need to install on their devices in order to connect with MFA?","A. Okta Verify","B. Duo Mobile  ","C. Microsoft Authenticator","D. Google Authenticator","","","B"
"Which URL type allows users to access unstructured data without authenticating into Snowflake or passing an authorization token?","A. Pre-signed URL  ","B. Scoped URL","C. Signed URL","D. File URL","","","A"
"Where would a Snowflake user find information about query activity from 90 days ago?","A. account_usage.query_history view  ","B. account_usage.query_history_archive view","C. information_schema.query_history view","D. information_schema.query_history_by_session view","","","A"
